Year,Stock,Sector,PE_Ratio,EPS,ROE,Debt_to_Equity,Revenue,Profit,Revenue_Growth,Profit_Growth
2020,ASIANPAINT,Consumer_Durables,94.74690018901208,31.61308126284734,0.21942271546443703,0.11489216279696139,289413500000.0,30305700000.0,,
2021,ASIANPAINT,Consumer_Durables,94.74690018901208,31.61308126284734,0.21942271546443703,0.11489216279696139,289413500000.0,30305700000.0,,
2022,ASIANPAINT,Consumer_Durables,94.74690018901208,31.61308126284734,0.21942271546443703,0.11489216279696139,289413500000.0,30305700000.0,,
2023,ASIANPAINT,Consumer_Durables,77.6935459705051,42.836013539307615,0.25677782273016336,0.12084743653636798,343887100000.0,41064500000.0,0.18822066005905047,0.35500912369620236
2024,ASIANPAINT,Consumer_Durables,39.6253135628537,56.95783126733154,0.29154968683756666,0.13211984002819263,353954200000.0,54602300000.0,0.029274433382351358,0.32967161416795526
2025,ASIANPAINT,Consumer_Durables,72.10424777576817,38.25433499293917,0.18903432559391045,0.11805734179870833,338151700000.0,36672300000.0,-0.044645606691487205,-0.3283744457651051
2020,AXISBANK,Financial_Services,31.621960656592474,34.80206086413654,0.08335881843443117,1.529064226384442,624158400000.0,108184500000.0,,
2021,AXISBANK,Financial_Services,31.621960656592474,34.80206086413654,0.08335881843443117,1.529064226384442,624158400000.0,108184500000.0,,
2022,AXISBANK,Financial_Services,31.621960656592474,34.80206086413654,0.08335881843443117,1.529064226384442,624158400000.0,108184500000.0,,
2023,AXISBANK,Financial_Services,31.621960656592474,34.80206086413654,0.08335881843443117,1.529064226384442,624158400000.0,108184500000.0,,
2024,AXISBANK,Financial_Services,12.532550073936104,84.8822278952419,0.1680397942932371,1.4532826037780837,766030400000.0,263862000000.0,0.22730127480460088,1.4390000415956075
2025,AXISBANK,Financial_Services,13.805945240849173,90.25097363948123,0.14983863369065342,1.1786587574823555,848805500000.0,280551100000.0,0.10805719981870171,0.06324935003903556
2020,BAJAJ-AUTO,Automobile,15.37290670761493,220.80380144068457,0.20649505268815943,0.0,321359800000.0,61658700000.0,,
2021,BAJAJ-AUTO,Automobile,15.37290670761493,220.80380144068457,0.20649505268815943,0.0,321359800000.0,61658700000.0,,
2022,BAJAJ-AUTO,Automobile,15.37290670761493,220.80380144068457,0.20649505268815943,0.0,321359800000.0,61658700000.0,,
