Date,Stock,finbert_pos,finbert_neg,finbert_neu
2020-01-01,M&M,0.85429937,0.10827219,0.037428524
2020-01-01,NTPC,0.6787693,0.008105823,0.31312495
2020-01-01,ONGC,0.9342205,0.020571645,0.04520786
2020-01-02,BPCL,0.024344571,0.045713883,0.9299415
2020-01-02,EICHERMOT,0.69348615,0.14979832,0.15671556
2020-01-02,KOTAKBANK,0.10553054,0.017467633,0.87700176
2020-01-02,ONGC,0.08438627,0.11374432,0.80186945
2020-01-03,BPCL,0.08914876,0.039937463,0.87091374
2020-01-03,COALINDIA,0.010194193,0.9712314,0.018574461
2020-01-03,DRREDDY,0.11126083,0.013012817,0.87572634
2020-01-03,HINDALCO,0.67236364,0.020333339,0.30730295
2020-01-03,ONGC,0.9158206,0.021861048,0.06231839
2020-01-04,ONGC,0.43480352,0.0494393,0.51575726
2020-01-06,BAJAJFINSV,0.18630606,0.010231343,0.8034626
2020-01-06,BPCL,0.14824761,0.01182084,0.83993155
2020-01-06,JSWSTEEL,0.10477819,0.6588993,0.23632246
2020-01-06,ONGC,0.26106253,0.10548194,0.6334556
2020-01-06,TITAN,0.033705737,0.03347469,0.9328196
2020-01-07,BAJFINANCE,0.07639907,0.010324818,0.9132761
2020-01-07,HCLTECH,0.94950134,0.021413432,0.02908529
2020-01-07,INDUSINDBK,0.06531639,0.04191101,0.89277256
2020-01-07,NTPC,0.84343493,0.01706123,0.1395039
2020-01-07,TECHM,0.4762669,0.48759264,0.036140397
2020-01-08,KOTAKBANK,0.015396413,0.9275667,0.05703686
2020-01-09,INDUSINDBK,0.8702854,0.030527791,0.099186815
2020-01-10,BAJAJFINSV,0.062533684,0.014800315,0.922666
2020-01-12,NTPC,0.036919273,0.78718704,0.17589374
2020-01-13,INDUSINDBK,0.95255446,0.024511004,0.022934504
2020-01-13,JSWSTEEL,0.010289423,0.97411805,0.015592496
2020-01-13,KOTAKBANK,0.6524651,0.012990551,0.3345443
2020-01-13,NTPC,0.40493277,0.020659473,0.57440776
2020-01-14,INDUSINDBK,0.48479867,0.45667812,0.058523193
2020-01-15,ASIANPAINT,0.18985489,0.012329893,0.7978152
2020-01-15,BAJAJFINSV,0.020490536,0.10668466,0.8728248
2020-01-15,BAJFINANCE,0.9092351,0.010542589,0.08022225
2020-01-15,BPCL,0.02283548,0.96502197,0.012142529
2020-01-15,INDUSINDBK,0.33993688,0.3350022,0.3250609
2020-01-15,KOTAKBANK,0.026657233,0.033285916,0.94005686
2020-01-15,SUNPHARMA,0.9165945,0.012192581,0.07121288
2020-01-16,BPCL,0.03868601,0.018917616,0.94239634
2020-01-16,INDUSINDBK,0.08368603,0.33122844,0.5850856
2020-01-16,JSWSTEEL,0.041890074,0.08070709,0.87740284
2020-01-17,BPCL,0.66673213,0.009691333,0.3235765
2020-01-17,HCLTECH,0.9492287,0.022217305,0.028554047
2020-01-17,ONGC,0.9265394,0.014641531,0.05881902
2020-01-18,INDUSINDBK,0.024750197,0.31718963,0.6580601
2020-01-19,COALINDIA,0.12943004,0.01333618,0.8572337
2020-01-19,INDUSINDBK,0.70144856,0.032463085,0.26608843
2020-01-19,KOTAKBANK,0.38256103,0.44718072,0.17025825
2020-01-20,CIPLA,0.011719183,0.89177126,0.09650953
2020-01-20,HCLTECH,0.051793996,0.026870448,0.9213355
2020-01-20,KOTAKBANK,0.58001065,0.27825347,0.14173587
2020-01-21,CIPLA,0.03390109,0.022129886,0.943969
2020-01-21,HCLTECH,0.6973178,0.01740744,0.28527483
2020-01-21,KOTAKBANK,0.3628256,0.3364785,0.30069596
2020-01-21,TECHM,0.8242552,0.009357045,0.16638778
2020-01-22,ASIANPAINT,0.9136386,0.060390793,0.025970576
2020-01-22,HCLTECH,0.12367628,0.009919626,0.8664041
2020-01-22,NTPC,0.9510173,0.022309214,0.02667349
2020-01-23,ASIANPAINT,0.5002462,0.020720024,0.4790338
2020-01-23,CIPLA,0.14942802,0.48891664,0.36165527
2020-01-23,HCLTECH,0.12902592,0.009038087,0.86193603
2020-01-23,JSWSTEEL,0.33186918,0.010024731,0.658106
2020-01-23,NESTLEIND,0.9288902,0.04038838,0.030721378
2020-01-23,ONGC,0.45371816,0.01663354,0.5296483
2020-01-23,TECHM,0.12635198,0.012715891,0.8609322
2020-01-24,ASIANPAINT,0.78344834,0.09221057,0.12434111
2020-01-24,JSWSTEEL,0.024362639,0.439545,0.53609234
2020-01-24,NTPC,0.01461748,0.9659442,0.019438434
2020-01-24,ONGC,0.58771265,0.01870574,0.39358166
2020-01-24,ULTRACEMCO,0.9403961,0.028214308,0.031389635
2020-01-25,ASIANPAINT,0.053279135,0.042463757,0.9042571
2020-01-25,COALINDIA,0.14599778,0.010991234,0.843011
2020-01-25,HCLTECH,0.062354863,0.023178237,0.9144669
2020-01-26,KOTAKBANK,0.14963625,0.02031028,0.83005345
2020-01-26,NTPC,0.018226387,0.2122439,0.7695297
2020-01-27,ASIANPAINT,0.025588516,0.14711514,0.8272964
2020-01-27,DRREDDY,0.035833865,0.49745944,0.46670666
2020-01-27,HCLTECH,0.6787326,0.023341967,0.29792544
2020-01-27,JSWSTEEL,0.29663703,0.3907683,0.31259468
2020-01-27,NTPC,0.7989183,0.01593853,0.18514311
2020-01-27,ULTRACEMCO,0.24693619,0.030892016,0.7221718
2020-01-28,BPCL,0.13173498,0.027229743,0.8410352
2020-01-28,CIPLA,0.273707,0.009891657,0.7164014
2020-01-28,COALINDIA,0.80277723,0.02210653,0.17511617
2020-01-28,DRREDDY,0.79377174,0.021347014,0.18488126
2020-01-28,JSWSTEEL,0.007976526,0.975158,0.016865442
2020-01-28,LT,0.07711525,0.010700844,0.9121839
2020-01-28,TECHM,0.17889152,0.009574845,0.81153363
2020-01-28,ULTRACEMCO,0.95340073,0.018957522,0.027641736
