Stock,Prediction,Expected_Movement,Confidence,Confidence_Level,Recommendation,Last_Date,Last_Close,XAI_Factors
BPCL,DOWN,-2.1%,63.7%,Weak Signal,OBSERVE,2025-12-22,Rs.359.75,volatility_ratio: 0.021 — key driver | hist_vol_20d: 0.015 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 4.3 — fair value | Profit growth 1160.4% — strong
INDUSINDBK,DOWN,-2.27%,63.5%,Weak Signal,OBSERVE,2025-12-22,Rs.856.40,volatility_ratio: 0.023 — key driver | hist_vol_20d: 0.012 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 8.3 — fair value | Profit growth 20.6% — strong
TATASTEEL,DOWN,-1.88%,63.0%,Weak Signal,OBSERVE,2025-12-22,Rs.169.22,volatility_ratio: 0.019 — key driver | hist_vol_20d: 0.014 — key driver | nifty_ret_5d: -0.003 — key driver | P/E -37.9 — fair value | Profit growth -150.7% — declining
GRASIM,DOWN,-1.55%,62.7%,Weak Signal,OBSERVE,2025-12-22,Rs.2809.70,volatility_ratio: 0.015 — key driver | hist_vol_20d: 0.008 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 29.3 — fair value | Profit growth -17.6% — declining
COALINDIA,DOWN,-1.23%,62.3%,Weak Signal,OBSERVE,2025-12-22,Rs.381.21,volatility_ratio: 0.012 — key driver | hist_vol_20d: 0.007 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 5.8 — fair value | Profit growth 17.8% — strong
CIPLA,DOWN,-1.3%,62.2%,Weak Signal,OBSERVE,2025-12-22,Rs.1512.90,volatility_ratio: 0.013 — key driver | hist_vol_20d: 0.007 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 29.7 — fair value | Profit growth 47.1% — strong
SBIN,DOWN,-1.31%,62.2%,Weak Signal,OBSERVE,2025-12-22,Rs.974.30,volatility_ratio: 0.013 — key driver | hist_vol_20d: 0.010 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 10.7 — fair value | Profit growth 20.6% — strong
BHARTIARTL,DOWN,-1.58%,61.9%,Weak Signal,OBSERVE,2025-12-22,Rs.2147.60,volatility_ratio: 0.016 — key driver | hist_vol_20d: 0.010 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 128.4 — expensive | Profit growth -10.5% — declining
DRREDDY,DOWN,-1.46%,61.9%,Weak Signal,OBSERVE,2025-12-22,Rs.1283.40,volatility_ratio: 0.015 — key driver | hist_vol_20d: 0.007 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 20.6 — fair value | Profit growth 23.6% — strong
HINDALCO,DOWN,-1.94%,61.6%,Weak Signal,OBSERVE,2025-12-22,Rs.864.55,volatility_ratio: 0.019 — key driver | hist_vol_20d: 0.012 — key driver | nifty_ret_5d: -0.003 — key driver | P/E 13.2 — fair value | Profit growth 0.6% — moderate
